folds,eta,max_depth,colsample_bytree,subsample,lambda,bestLoss,bestRound
10,0.03,5,1,0.8,0,0.434238,332
8,0.01,6,1,0.8,0,0.428202,987
10,0.01,6,1,0.8,0,0.428653,920
8,0.012,6,1,0.8,0,0.430921,826
10,0.012,6,1,0.8,0,0.426508,804
8,0.014,6,1,0.8,0,0.431513,663
10,0.014,6,1,0.8,0,0.427919,674
8,0.016,6,1,0.8,0,0.42617,599
10,0.016,6,1,0.8,0,0.423654,572
8,0.018,6,1,0.8,0,0.429526,543
10,0.018,6,1,0.8,0,0.431488,526
8,0.02,6,1,0.8,0,0.429837,497
10,0.02,6,1,0.8,0,0.427264,498
8,0.022,6,1,0.8,0,0.431418,416
10,0.022,6,1,0.8,0,0.429752,409
8,0.024,6,1,0.8,0,0.431882,377
10,0.024,6,1,0.8,0,0.430951,346
8,0.026,6,1,0.8,0,0.428311,370
10,0.026,6,1,0.8,0,0.432531,347
8,0.028,6,1,0.8,0,0.427929,297
10,0.028,6,1,0.8,0,0.43673,314
8,0.03,6,1,0.8,0,0.431505,273
10,0.03,6,1,0.8,0,0.429679,283
8,0.01,7,1,0.8,0,0.425483,765
10,0.01,7,1,0.8,0,0.428153,709
8,0.012,7,1,0.8,0,0.429734,591
10,0.012,7,1,0.8,0,0.42864,646
8,0.014,7,1,0.8,0,0.428954,480
10,0.014,7,1,0.8,0,0.426661,587
8,0.016,7,1,0.8,0,0.43222,433
10,0.016,7,1,0.8,0,0.427902,495
8,0.018,7,1,0.8,0,0.432394,412
10,0.018,7,1,0.8,0,0.425833,394
8,0.02,7,1,0.8,0,0.435864,362
10,0.02,7,1,0.8,0,0.43142,352
8,0.022,7,1,0.8,0,0.426593,374
10,0.022,7,1,0.8,0,0.425996,331
8,0.024,7,1,0.8,0,0.4297,318
10,0.024,7,1,0.8,0,0.427554,304
8,0.026,7,1,0.8,0,0.438149,252
10,0.026,7,1,0.8,0,0.428857,287
8,0.028,7,1,0.8,0,0.428956,292
10,0.028,7,1,0.8,0,0.430374,264
8,0.03,7,1,0.8,0,0.430164,265
10,0.03,7,1,0.8,0,0.425326,269
8,0.01,4,0.85,0.95,0,0.449936,999
10,0.01,4,0.85,0.95,0,0.449635,998
8,0.012,4,0.85,0.95,0,0.452346,833
10,0.012,4,0.85,0.95,0,0.450637,833
8,0.014,4,0.85,0.95,0,0.448554,714
10,0.014,4,0.85,0.95,0,0.447386,711
8,0.016,4,0.85,0.95,0,0.450692,624
10,0.016,4,0.85,0.95,0,0.453694,625
8,0.018,4,0.85,0.95,0,0.451296,556
10,0.018,4,0.85,0.95,0,0.449574,554
8,0.02,4,0.85,0.95,0,0.450164,500
10,0.02,4,0.85,0.95,0,0.451231,500
8,0.022,4,0.85,0.95,0,0.449425,454
10,0.022,4,0.85,0.95,0,0.449663,455
8,0.024,4,0.85,0.95,0,0.453282,417
10,0.024,4,0.85,0.95,0,0.450958,417
8,0.026,4,0.85,0.95,0,0.448736,385
10,0.026,4,0.85,0.95,0,0.450847,385
8,0.028,4,0.85,0.95,0,0.450201,357
10,0.028,4,0.85,0.95,0,0.448768,357
8,0.03,4,0.85,0.95,0,0.451757,331
10,0.03,4,0.85,0.95,0,0.450717,333
8,0.01,5,0.85,0.95,0,0.442134,983
10,0.01,5,0.85,0.95,0,0.43457,1000
8,0.012,5,0.85,0.95,0,0.438006,832
10,0.012,5,0.85,0.95,0,0.430183,831
8,0.014,5,0.85,0.95,0,0.43813,714
10,0.014,5,0.85,0.95,0,0.436921,714
8,0.016,5,0.85,0.95,0,0.438945,624
10,0.016,5,0.85,0.95,0,0.437969,625
8,0.018,5,0.85,0.95,0,0.437825,556
10,0.018,5,0.85,0.95,0,0.435096,556
8,0.02,5,0.85,0.95,0,0.438465,500
10,0.02,5,0.85,0.95,0,0.435772,499
8,0.022,5,0.85,0.95,0,0.439611,455
10,0.022,5,0.85,0.95,0,0.441683,455
8,0.024,5,0.85,0.95,0,0.434522,409
10,0.024,5,0.85,0.95,0,0.435173,417
